lng,lat
-74.2094680662,40.8182774670
-74.2094680662,40.8182774670
-74.2094680662,40.8182774670
-74.2106168580,40.8171431473
-74.2106168580,40.8171431473
-74.2106168580,40.8171431473
-74.2117656570,40.8160086539
-74.2097185502,40.8140417158
-74.2120161143,40.8117722047
-74.2120161143,40.8117722047
-74.2131649071,40.8106371884
-74.2131649071,40.8106371884
-74.2111177206,40.8086707629
-74.2102192817,40.8055696613
-74.2070233567,40.8047394620
-74.2070233567,40.8047394620
-74.2061248688,40.8016393909
-74.2049761794,40.8027745863
-74.2749579126,40.6050100398
-74.2738092873,40.6061657627
-74.2738092873,40.6061657627
-74.2738092873,40.6061657627
-74.2738092873,40.6061657627
-74.2738092873,40.6061657627
-74.2738092873,40.6061657627
-74.2726606689,40.6073213080
-74.2715120573,40.6084766758
-74.2715120573,40.6084766758
-74.2715120573,40.6084766758
-74.2694618118,40.6065289061
-74.2694618118,40.6065289061
-74.2671646645,40.6088391033
-73.7900680334,40.6433535729
-73.7900680334,40.6433535729
-73.7891682598,40.6403439018
-73.7891682598,40.6403439018
-73.7891682598,40.6403439018
-73.7880243545,40.6414611715
-73.7880243545,40.6414611715
-73.7880243545,40.6414611715
-73.7880243545,40.6414611715
-73.7868804567,40.6425782748
-73.7868804567,40.6425782748
-73.7868804567,40.6425782748
-73.7868804567,40.6425782748
-73.7868804567,40.6425782748
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7854923755,40.6478209964
-73.7854923755,40.6478209964
-73.7854923755,40.6478209964
-73.7854923755,40.6478209964
-73.7854923755,40.6478209964
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7857365664,40.6436952117
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7866362789,40.6467043900
-73.7877801896,40.6455876173
-73.7877801896,40.6455876173
-73.7877801896,40.6455876173
-73.7900680334,40.6433535729
